course,subjects&teachers
GA1,"SOZ:BRI,LIT:KRO,GCH:SCH,DEU1:WOL,DEU2:SHA"
GF1,"SOZ:BRI,LIT:KRO,GCH:RIO,DEU1:WET,DEU2:OST"
WA1,"GEO:OST,BWL:KAU,VWL:KAU,MTH:KRZ,DEU1:BUC,DEU2:WET"
WF1,"GEO:BUC,BWL:MSZ,VWL:MSZ,MTH:WON,DEU1:BUC,DEU2:BRÜ"
TF1,"INF:KEM,CHE:vBl,PHY:SHD,GMT:KEM,ANA:TAV,DEU1:KRO,DEU2:BUC"
TF2,"INF:KYF,CHE:KRZ,PHY:KYF,GMT:KRZ,ANA:WON,DEU1:KRO,DEU2:BRÜ"
TA1,"INF:TAV,CHE:WON,PHY:KEM,GMT:TAV,ANA:KEM,DEU1:MTC,DEU2:SHA"
TA2,"INF:KEM,CHE:WON,PHY:KYF,GMT:SHD,ANA:KYF,DEU1:RIO,DEU2:BRÜ"
MA1,"CHE:MTC,PHY:SHD,BIO:VOG,MTH:KRZ,DEU1:WET,DEU2:WET"
MF1,"CHE:KRZ,PHY:KYF,BIO:VOG,MTH:TAV,DEU1:RIO,DEU2:MTC"
